,Date,AVG,years,months,month_name
0,199201,33.6,1992,01,Janurary
1,199202,39.7,1992,02,February
2,199203,44.7,1992,03,March
3,199204,52.5,1992,04,April
4,199205,61.2,1992,05,May
5,199206,67.4,1992,06,June
6,199207,71.2,1992,07,July
7,199208,69.8,1992,08,August
8,199209,64.7,1992,09,September
9,199210,54.5,1992,10,October
10,199211,40.1,1992,11,November
11,199212,31.7,1992,12,December
12,199301,30.5,1993,01,Janurary
13,199302,31.1,1993,02,February
14,199303,41.8,1993,03,March
15,199304,49.9,1993,04,April
16,199305,60.9,1993,05,May
17,199306,67.2,1993,06,June
18,199307,72.2,1993,07,July
19,199308,71.9,1993,08,August
20,199309,63.3,1993,09,September
21,199310,53.0,1993,10,October
22,199311,39.2,1993,11,November
23,199312,34.2,1993,12,December
24,199401,29.3,1994,01,Janurary
25,199402,31.9,1994,02,February
26,199403,44.5,1994,03,March
27,199404,52.7,1994,04,April
28,199405,60.7,1994,05,May
29,199406,71.0,1994,06,June
30,199407,73.6,1994,07,July
31,199408,72.2,1994,08,August
32,199409,65.5,1994,09,September
33,199410,54.2,1994,10,October
34,199411,42.6,1994,11,November
35,199412,36.2,1994,12,December
36,199501,33.1,1995,01,Janurary
37,199502,37.4,1995,02,February
38,199503,43.3,1995,03,March
39,199504,49.4,1995,04,April
40,199505,58.6,1995,05,May
41,199506,67.6,1995,06,June
42,199507,73.5,1995,07,July
43,199508,74.3,1995,08,August
44,199509,64.7,1995,09,September
45,199510,54.4,1995,10,October
46,199511,42.0,1995,11,November
47,199512,33.4,1995,12,December
48,199601,29.7,1996,01,Janurary
49,199602,35.7,1996,02,February
50,199603,39.0,1996,03,March
51,199604,50.6,1996,04,April
52,199605,61.0,1996,05,May
53,199606,69.9,1996,06,June
54,199607,73.6,1996,07,July
55,199608,72.4,1996,08,August
56,199609,63.5,1996,09,September
57,199610,53.6,1996,10,October
58,199611,39.6,1996,11,November
59,199612,33.9,1996,12,December
60,199701,30.0,1997,01,Janurary
61,199702,36.0,1997,02,February
62,199703,44.7,1997,03,March
63,199704,47.9,1997,04,April
64,199705,59.4,1997,05,May
65,199706,68.3,1997,06,June
66,199707,73.2,1997,07,July
67,199708,71.7,1997,08,August
68,199709,66.4,1997,09,September
69,199710,53.9,1997,10,October
70,199711,40.9,1997,11,November
71,199712,34.0,1997,12,December
72,199801,35.0,1998,01,Janurary
73,199802,38.7,1998,02,February
74,199803,41.3,1998,03,March
75,199804,51.1,1998,04,April
76,199805,62.5,1998,05,May
77,199806,68.1,1998,06,June
78,199807,75.5,1998,07,July
79,199808,74.0,1998,08,August
80,199809,69.0,1998,09,September
81,199810,55.1,1998,10,October
82,199811,44.9,1998,11,November
83,199812,35.6,1998,12,December
84,199901,33.8,1999,01,Janurary
85,199902,39.5,1999,02,February
86,199903,42.8,1999,03,March
87,199904,51.6,1999,04,April
88,199905,60.0,1999,05,May
89,199906,68.3,1999,06,June
90,199907,74.3,1999,07,July
91,199908,72.9,1999,08,August
92,199909,64.3,1999,09,September
93,199910,54.8,1999,10,October
94,199911,48.1,1999,11,November
95,199912,36.1,1999,12,December
96,200001,33.6,2000,01,Janurary
97,200002,39.8,2000,02,February
98,200003,46.0,2000,03,March
99,200004,52.6,2000,04,April
100,200005,63.1,2000,05,May
101,200006,69.0,2000,06,June
102,200007,73.9,2000,07,July
103,200008,74.0,2000,08,August
104,200009,65.6,2000,09,September
105,200010,55.1,2000,10,October
106,200011,38.0,2000,11,November
107,200012,28.4,2000,12,December
108,200101,31.4,2001,01,Janurary
109,200102,34.0,2001,02,February
110,200103,41.5,2001,03,March
111,200104,53.1,2001,04,April
112,200105,62.8,2001,05,May
113,200106,69.2,2001,06,June
114,200107,74.5,2001,07,July
115,200108,74.3,2001,08,August
116,200109,65.7,2001,09,September
117,200110,54.4,2001,10,October
118,200111,47.4,2001,11,November
119,200112,36.1,2001,12,December
120,200201,34.5,2002,01,Janurary
121,200202,36.4,2002,02,February
122,200203,39.6,2002,03,March
123,200204,53.5,2002,04,April
124,200205,59.3,2002,05,May
125,200206,70.9,2002,06,June
126,200207,75.8,2002,07,July
127,200208,72.9,2002,08,August
128,200209,66.8,2002,09,September
129,200210,51.8,2002,10,October
130,200211,42.0,2002,11,November
131,200212,35.1,2002,12,December
132,200301,32.8,2003,01,Janurary
133,200302,32.8,2003,02,February
134,200303,43.3,2003,03,March
135,200304,51.9,2003,04,April
136,200305,61.0,2003,05,May
137,200306,68.0,2003,06,June
138,200307,75.5,2003,07,July
139,200308,74.6,2003,08,August
140,200309,65.0,2003,09,September
141,200310,56.6,2003,10,October
142,200311,42.4,2003,11,November
143,200312,35.3,2003,12,December
144,200401,30.4,2004,01,Janurary
145,200402,33.6,2004,02,February
146,200403,47.4,2004,03,March
147,200404,52.7,2004,04,April
148,200405,61.9,2004,05,May
149,200406,68.1,2004,06,June
150,200407,72.9,2004,07,July
151,200408,70.2,2004,08,August
152,200409,65.7,2004,09,September
153,200410,55.4,2004,10,October
154,200411,44.0,2004,11,November
155,200412,35.1,2004,12,December
156,200501,33.4,2005,01,Janurary
157,200502,37.9,2005,02,February
158,200503,42.3,2005,03,March
159,200504,52.3,2005,04,April
160,200505,59.6,2005,05,May
161,200506,69.2,2005,06,June
162,200507,75.3,2005,07,July
163,200508,73.2,2005,08,August
164,200509,67.4,2005,09,September
165,200510,55.4,2005,10,October
166,200511,45.0,2005,11,November
167,200512,32.7,2005,12,December
168,200601,38.9,2006,01,Janurary
169,200602,34.8,2006,02,February
170,200603,42.6,2006,03,March
171,200604,55.2,2006,04,April
172,200605,62.3,2006,05,May
173,200606,70.7,2006,06,June
174,200607,76.4,2006,07,July
175,200608,73.4,2006,08,August
176,200609,63.3,2006,09,September
177,200610,52.6,2006,10,October
178,200611,44.1,2006,11,November
179,200612,36.6,2006,12,December
180,200701,31.4,2007,01,Janurary
181,200702,32.4,2007,02,February
182,200703,47.7,2007,03,March
183,200704,50.5,2007,04,April
184,200705,62.3,2007,05,May
185,200706,69.9,2007,06,June
186,200707,74.7,2007,07,July
187,200708,74.7,2007,08,August
188,200709,66.4,2007,09,September
189,200710,56.7,2007,10,October
190,200711,44.0,2007,11,November
191,200712,33.2,2007,12,December
192,200801,30.3,2008,01,Janurary
193,200802,34.7,2008,02,February
194,200803,41.9,2008,03,March
195,200804,50.4,2008,04,April
196,200805,59.4,2008,05,May
197,200806,69.6,2008,06,June
198,200807,74.1,2008,07,July
199,200808,72.3,2008,08,August
200,200809,65.2,2008,09,September
201,200810,54.0,2008,10,October
202,200811,43.9,2008,11,November
203,200812,31.9,2008,12,December
204,200901,31.0,2009,01,Janurary
205,200902,36.8,2009,02,February
206,200903,42.9,2009,03,March
207,200904,50.9,2009,04,April
208,200905,61.7,2009,05,May
209,200906,68.5,2009,06,June
210,200907,72.6,2009,07,July
211,200908,71.9,2009,08,August
212,200909,66.4,2009,09,September
213,200910,50.5,2009,10,October
214,200911,45.8,2009,11,November
215,200912,29.6,2009,12,December
216,201001,30.7,2010,01,Janurary
217,201002,31.8,2010,02,February
218,201003,43.6,2010,03,March
219,201004,53.2,2010,04,April
220,201005,59.9,2010,05,May
221,201006,70.5,2010,06,June
222,201007,74.7,2010,07,July
223,201008,74.0,2010,08,August
224,201009,66.5,2010,09,September
225,201010,56.1,2010,10,October
226,201011,42.3,2010,11,November
227,201012,32.5,2010,12,December
228,201101,29.7,2011,01,Janurary
229,201102,33.0,2011,02,February
230,201103,43.1,2011,03,March
231,201104,52.0,2011,04,April
232,201105,59.1,2011,05,May
233,201106,69.8,2011,06,June
234,201107,76.1,2011,07,July
235,201108,75.0,2011,08,August
236,201109,66.1,2011,09,September
237,201110,55.1,2011,10,October
238,201111,43.7,2011,11,November
239,201112,35.4,2011,12,December
240,201201,36.1,2012,01,Janurary
241,201202,37.5,2012,02,February
242,201203,50.4,2012,03,March
243,201204,54.7,2012,04,April
244,201205,63.4,2012,05,May
245,201206,70.5,2012,06,June
246,201207,76.8,2012,07,July
247,201208,73.8,2012,08,August
248,201209,66.3,2012,09,September
249,201210,53.9,2012,10,October
250,201211,44.0,2012,11,November
251,201212,35.9,2012,12,December
252,201301,32.2,2013,01,Janurary
253,201302,34.8,2013,02,February
254,201303,40.9,2013,03,March
255,201304,49.7,2013,04,April
256,201305,60.9,2013,05,May
257,201306,70.4,2013,06,June
258,201307,74.2,2013,07,July
259,201308,73.0,2013,08,August
260,201309,67.0,2013,09,September
261,201310,53.4,2013,10,October
262,201311,41.6,2013,11,November
263,201312,31.1,2013,12,December
264,201401,30.6,2014,01,Janurary
265,201402,32.1,2014,02,February
266,201403,40.5,2014,03,March
267,201404,51.7,2014,04,April
268,201405,61.3,2014,05,May
269,201406,69.6,2014,06,June
270,201407,73.3,2014,07,July
271,201408,72.2,2014,08,August
272,201409,66.2,2014,09,September
273,201410,56.9,2014,10,October
274,201411,39.3,2014,11,November
275,201412,36.8,2014,12,December
276,201501,33.1,2015,01,Janurary
277,201502,33.0,2015,02,February
278,201503,45.4,2015,03,March
279,201504,53.2,2015,04,April
280,201505,60.8,2015,05,May
281,201506,71.4,2015,06,June
282,201507,73.9,2015,07,July
283,201508,72.9,2015,08,August
284,201509,68.5,2015,09,September
285,201510,57.2,2015,10,October
286,201511,44.6,2015,11,November
287,201512,38.7,2015,12,December
288,201601,32.2,2016,01,Janurary
289,201602,39.5,2016,02,February
290,201603,47.5,2016,03,March
291,201604,53.2,2016,04,April
292,201605,60.3,2016,05,May
293,201606,71.8,2016,06,June
294,201607,75.2,2016,07,July
295,201608,73.5,2016,08,August
296,201609,67.1,2016,09,September
297,201610,57.7,2016,10,October
298,201611,48.0,2016,11,November
299,201612,33.0,2016,12,December
300,201701,33.6,2017,01,Janurary
301,201702,41.2,2017,02,February
302,201703,46.1,2017,03,March
303,201704,53.8,2017,04,April
304,201705,60.6,2017,05,May
305,201706,70.4,2017,06,June
306,201707,75.7,2017,07,July
307,201708,72.0,2017,08,August
308,201709,66.3,2017,09,September
309,201710,55.7,2017,10,October
310,201711,45.0,2017,11,November
311,201712,34.3,2017,12,December
312,201801,32.2,2018,01,Janurary
313,201802,35.5,2018,02,February
314,201803,42.7,2018,03,March
315,201804,49.0,2018,04,April
316,201805,65.5,2018,05,May
317,201806,71.5,2018,06,June
318,201807,75.4,2018,07,July
319,201808,73.5,2018,08,August
320,201809,67.5,2018,09,September
321,201810,53.7,2018,10,October
322,201811,40.0,2018,11,November
323,201812,35.5,2018,12,December
324,201901,32.6,2019,01,Janurary
325,201902,31.8,2019,02,February
326,201903,40.3,2019,03,March
327,201904,52.8,2019,04,April
328,201905,59.5,2019,05,May
329,201906,68.7,2019,06,June
330,201907,74.6,2019,07,July
331,201908,73.7,2019,08,August
332,201909,68.4,2019,09,September
333,201910,52.0,2019,10,October
334,201911,41.1,2019,11,November
335,201912,36.4,2019,12,December
336,202001,35.5,2020,01,Janurary
337,202002,36.2,2020,02,February
338,202003,46.1,2020,03,March
339,202004,50.9,2020,04,April
340,202005,60.9,2020,05,May
341,202006,70.3,2020,06,June
342,202007,75.6,2020,07,July
343,202008,74.7,2020,08,August
344,202009,65.9,2020,09,September
345,202010,54.3,2020,10,October
346,202011,46.3,2020,11,November
347,202012,35.7,2020,12,December
